speaker	vowel/frame	context	F1	F2	F3	gl F1	gl F2	gl F3
JOHG09	BOT=BOUGHT	(his ears) throb ([pause] As)	913	1991	3151			
JOHG09	BOT=BOUGHT	([pause]) Watching (the telephone)	725	1849	3119			
JOHG09	BOT=BOUGHT	(and a) hospital. ([pause] After)	817	1223	3285			
JOHG09	BOT=BOUGHT	(hoarse [pause]) Not (far away)	850	1503	3175			
JOHG09	BOT=BOUGHT	"(ragweed) bothered (it, too)"	812	1329	3075			
JOHG09	BOT=BOUGHT	(Checking his) pocket (for cash)	831	1390	3070			
JOHG09	BOT=BOUGHT	"(cash, he) stopped (at a Gulf)"	873	1517	2991			
JOHG09	BOT=BOUGHT	"(now, he) nodded, (plus some)"	697	1643	3406			
JOHG09	BOT=BOUGHT	(two) cots (on sale)	803	1277	3081			
JOHG09	BOT=BOUGHT	"(since it had) gotten (hot, and)"	793	1498	2710			
JOHG09	BOT=BOUGHT	"(gotten) hot, (and he recalled)"	904	1596	3208			
JOHG09	BOT=BOUGHT	(would be) hostile (if he didn’t)	816	1372	2690			
JOHG09	BOT=BOUGHT	(cooking) pot (on the stove)	813	1319	2751			
JOHG09	BOT=BOUGHT	(and his) daughter (was playing)	729	1155	3186			
JOHG09	BOT=BOUGHT	(Joan) caught (him [pause])	840	1300	2855			
JOHG09	BOT=BOUGHT	(He took) off (as fast as he)	779	1345	2830			
JOHG09	BOT=BOUGHT	"(day, he) thought ([pause] Watching)"	796	1427	3318			
JOHG09	BOT=BOUGHT	(where he) saw (a sight to behold)	727	1278	2964			
JOHG09	BOT=BOUGHT	(made him) cough ([pause] He’d be)	851	1475	2941			
JOHG09	BOT=BOUGHT	(station and) bought (some gas)	852	1386	3127			
JOHG09	BOT=BOUGHT	(tool store) ought ([P] to sell ten-pound)	850	1221	2767			
JOHG09	BOT=BOUGHT	(small-sized) auto ([pause] On the)	904	1404	3155			
JOHG09	BOT=BOUGHT	"(house and) thought, (I need to put)"	768	1587	3286			
JOHG09	BOT=BOUGHT	"(from hard to) soft, (since it had)"	800	1383	3002			
JOHG09	BOAT	(Saturday to) soak (in his pool)	609	1979	3306	585	1984	3153
JOHG09	BOAT	"(minutes, he) drove (around Hoover)"	606	1946	2867	605	1887	2568
JOHG09	BOAT	(pushing a) boat (along the end)	682	2040	3225	696	2078	3230
JOHG09	BOAT	"(Next, he) rode (through some farms)"	618	2162	3121	618	2162	3121
JOHG09	BOAT	(ragweed was) so (bad it made him)	626	2191	3235	641	2184	3218
JOHG09	BOAT	(sense to avoid) those (plants [pause])	628	2158	3205	602	2155	3260
JOHG09	BOAT	(Even a) goat (chewing on a tin can)	607	2297	3141	551	1873	2790
JOHG09	BOAT	"(manager [pause]) No, (but Tharp’s)"	598	2246	3272	640	2220	3165
JOHG09	BOAT	(pull a fall) coat ([P] of paint on my)	598	2244	3110	564	1687	2965
JOHG09	BOAT	(pot on the) stove. ([pause] Picturing)	637	2157	3306	571	1846	3000
JOHG09	BOAT	(out the dish) soap. ([pause] I guess)	630	2354	3454	562	2208	3354
JOHG09	BUT	(stay cooped) up (inside on such)	739	1892	3266			
JOHG09	BUT	(up inside on) such (a nice day)	581	2011	3452			
JOHG09	BUT	(There) must’ve (been a thousand)	691	1950	3199			
JOHG09	BUT	"(he nodded,) plus (some hooks)"	710	1764	3298			
JOHG09	BUT	(took a) shortcut (down Tuttle)	710	2060	3170			
JOHG09	BUT	(shortcut down) Tuttle (Street and)	704	1666	3148			
JOHG09	BUT	(hear his) other (daughter practicing)	766	1861	3163			
JOHG09	BUT	"(poor ears, he) muttered (as he poured)"	646	1976	3267			
JOHG09	BOOK	([pause] He) took (off as fast)	721	2001	3254			
JOHG09	BOOK	(fast as he) could (and hit the)	660	2076	3167			
JOHG09	BOOK	(were men) pushing (a boat)	554	2131	3271			
JOHG09	BOOK	(He enjoyed) looking (at the hogs)	711	1857	3365			
JOHG09	BOOK	"(plus some) hooks, (bolts, and a)"	674	1619	3062			
JOHG09	BOOK	"(bolts, and a) bushel (basket [pause])"	577	1409	2684			
JOHG09	BOOK	"(big, dark [P]) cooking (pot on the)"	544	1898	2921			
JOHG09	BOOK	"(stove, he) took (a shortcut down)"	580	2128	3190			
JOHG09	BOOT	(can’t stay) cooped (up inside)	438	1945	2723	438	1945	2723
JOHG09	BOOT	"(drove around) Hoover (Dam, where)"	481	2162	2991	464	1892	2623
JOHG09	BOOT	(fixing the) roof (of his house)	556	2129	2721	556	2129	2721
JOHG09	TOOT	"(foggy to) shoot (arrows, Sam)"	461	2349	2753	515	1932	2864
JOHG09	TOOT	(rode) th'ough (some farms with)	477	2234	2936	470	2192	3494
JOHG09	TOOT	"(bothered it,) too. ([pause] At)"	583	2135	3110	632	1540	2697
JOHG09	TOOT	"(driveway salt,) do (you? he asked)"	406	2654	3406	406	2654	3406
JOHG09	TOOT	"(then, second,) two (cots on sale)"	430	2207	3016	430	2207	3016
JOHG09	BIDE	(Sam) decided (to tour the)	802	1977	3284	792	1975	3264
JOHG09	BIDE	(tour the) countryside. ([pause] His)	786	1849	3422	689	2166	3419
JOHG09	BIDE	(out of his) drive. ([pause] I can’t)	825	1915	2917	749	2204	3187
JOHG09	BIDE	(cooped up) inside (on such a nice)	851	1646	3355	769	2076	3266
JOHG09	BIDE	"(After) five (minutes, he drove)"	839	1912	3036	740	2041	3138
JOHG09	BIDE	"(On) Friday, (all he’d seen were)"	851	2037	2535	831	2176	3185
JOHG09	BIDE	"(have any) driveway (salt, do you?)"	767	1711	2680	720	2022	2711
JOHG09	BIDE	"(only need) five (right now, he)"	916	1578	2969	805	2206	3228
JOHG09	BIDE	(in his small-) sized (foreign auto)	799	1625	3403	639	2058	3316
JOHG09	BIDE	"(fire in her) eyes, (he took a)"	847	1812	2879	544	2514	3174
JOHG09	BITE	"(golf partner,) Pike, (was gone, and)"	765	2276	3350	527	2724	3351
JOHG09	BITE	"(playing the) fife, (which made his)"	812	2146	3184	521	2500	3060
JOHG09	BITE	"(before his) wife, (Joan, caught him)"	668	1951	3104	644	2096	3050
JOHG09	BITE	(from last) night. ([pause] He took)	672	2023	3227	600	2649	3376
JOHG09	BITE	"(on such a) nice (day, he thought)"	671	2164	3419	604	2376	3398
JOHG09	BITE	(he saw a) sight (to behold [pause])	806	2020	3269	543	2494	3403
JOHG09	BITE	"(need five) right (now, he nodded)"	754	2298	2763	663	2504	3291
JOHG09	BITE	"(special on) light (bulbs, and first)"	687	2164	3346	611	2404	3444
JOHG09	BITE	(they were a) tight (fit in his small)	752	2086	3211	570	2342	3250
JOHG09	BOUT	(wanted to get) out (of the house)	915	1810	3267	800	1381	3104
JOHG09	BOUT	(out of the) house (so he dashed)	911	1365	2893	835	1491	2992
JOHG09	BOUT	(been a) thousand (seagulls eating)	863	1804	3223	782	1429	3219
JOHG09	BOUT	"(hogs, horses,) cows, (and a bull)"	822	1479	2863	683	1199	2978
JOHG09	BOUT	"(morning, and) now (he felt refreshed)"	750	2081	3211	725	1769	3146
JOHG09	BOUT	(roof of his) house (and thought)	831	1443	3253	788	1482	3147
JOHG09	BOUT	(as he poured) out (the dish soap)	855	1629	2924	744	1108	2914
JOHG09	BOY	(farms with) soybean (fields and the)	535	1331	3012	546	2321	3308
JOHG09	BOY	(sense to) avoid (those plants [pause])	619	1261	2905	655	2040	3100
JOHG09	BOY	(They made his) voice (sound hoarse.)	576	1501	2922	546	2356	3147
JOHG09	BOY	([pause] He) enjoyed (looking at the)	556	1482	2606	636	2030	2965
JOHG09	BAR	"(His golf) partner, (Pike, was)"	829	1876	2452			
JOHG09	BAR	(the family) car (before his wife)	947	1790	2179			
JOHG09	BAR	(still hadn’t) started (washing the)	767	1644	2840
JOHG09	BAR	([pause] Not) far (away he heard)	814	1583	2545
JOHG09	BAR	(dog--a dog) barking ([pause] Maybe)	769	1185	2098
JOHG09	BAR	"(No, but) Tharp’s (tool store ought)"	821	1946	2873
JOHG09	BAR	([pause] The) tar (on the road had)	727	1427	2635
JOHG09	BAR	"(gone from) hard (to soft, since)"	689	1480	2144
JOHG09	BAR	"(wash that big,) dark ([P] cooking pot)"	709	1761	2660
JOHG09	BORder=BOAR	(family car) before (his wife)	567	1181	2829
JOHG09	BORder=BOAR	(voice sound) hoarse ([pause] At)	673	1516	2359
JOHG09	BORder=BOAR	"(at the hogs,) horses, (cows, and a)"	606	1261	2586
JOHG09	BORder=BOAR	"(rushed to the) store, ([P] which was)"	569	1411	2700
JOHG09	BORder=BOAR	(took a) shortcut (down Tuttle)	645	1572	2264
JOHG09	BORder=BOAR	(as he) poured (out the dish soap)	624	1108	2598
JOHG09	BORder=BOAR	"(Oh, my) poor (ears, he muttered)"	599	1144	2477
JOHG09	TOUR	(decided to) tour (the countryside)	548	1776	2664
JOHG09	BUR	"(far away, he) heard (a dog--a dog)"	696	2185	2380
JOHG09	BUR	(first--[P] and) first (he bought those)	698	1859	2298			
JOHG09	BUR	(there’s no) cure (for this [pause])	575	1869	2191			
JOHG09	BARE	(behold [pause]) There (must've [P])	668	2205	3172			
JOHG09	BARE	(With the) spare (tire [P] they were a)	705	1988	2559			
JOHG09	BARE	(I guess) there's (no cure for this)	549	2048	3036			
JOHG09	BEER	(made his) ears (throb [pause])	452	2467	2951			
JOHG09	BEER	(in time to) hear (his other daughter)	570	2259	2797			
JOHG09	BEER	"(Oh, my poor) ears (he muttered)"	454	2753	3558			
JOHG09	POOL=PULL	(soak in his) pool (and too foggy)	576	1001	3139	566	1124	3057
JOHG09	POOL=PULL	(both a) school (and a hospital)	574	815	2890	596	896	2848
JOHG09	POOL=PULL	(He’d be a) fool (if he didn’t have)	572	991	2971	588	1012	2966
JOHG09	POOL=PULL	(Tharp’s) tool (store ought to sell)	520	981	2726	551	928	2803
JOHG09	POOL=PULL	(as he) pulled (out of his)	566	932	2929	617	1028	2762
JOHG09	POOL=PULL	"(cows, and a) bull (this Saturday)"	548	1052	3165	546	1137	3055
JOHG09	POOL=PULL	(wanted a) full (tank [pause])	624	1116	3003	609	1207	2966
JOHG09	POLE	(it was too) cold (Saturday to)	616	1024	2936	582	1180	2991
JOHG09	POLE	"(telephone) poles (zip by, he)"	597	1059	3056	578	1180	3073
JOHG09	POLE	"(hooks,) bolts, (and a bushel)"	598	925	2900	567	1119	3117
JOHG09	PIN=PEN	([pause]) Since (it was too cold)	483	1903	3510			
JOHG09	PIN=PEN	(cooped up) inside (on such a)	638	2000	3359			
JOHG09	PIN=PEN	(After five) minutes (he drove)	630	2077	3348			
JOHG09	PIN=PEN	(There must've) been (a thousand)	698	2160	3315			
JOHG09	PIN=PEN	(chewing on a) tin (can looked)	628	2107	3462			
JOHG09	PIN=PEN	(he'd seen were) men (pushing a)	669	2199	3380			
JOHG09	PIN=PEN	(along the) end (of the dam)	665	2154	3357			
JOHG09	PIN=PEN	(have the) sense (to avoid)	583	2089	3405			
JOHG09	PIN=PEN	(don't have) any (driveway salt)	560	2282	3288			
JOHG09	PIN=PEN	(ought to sell [P]) ten-(pound bags)	655	2126	3405			
JOHG09	PIN=PEN	"(things and) then (second, two)"	675	1972	3457			
OHDMTV_M	BEET	(thousand) seagulls (eating)	382	2023	2586	381	2239	2638
OHDMTV_M	BEET	(seagulls) eating (dead fish)	403	2251	2914	528	2234	2619
OHDMTV_M	BEET	"(Friday, all) he’d (seen were)"	478	2367	2751	397	2248	2920
OHDMTV_M	BEET	([pause]) He’d (be a fool if)	351	2215	3195	394	2206	3108
OHDMTV_M	BEET	(He’d) be (a fool if he)	397	2122	2730	453	2325	2860
OHDMTV_M	BEET	(At) least (August was)	443	2074	2573	383	2081	2719
OHDMTV_M	BEET	(August was) peaceful ([pause])	445	2181	2611	394	2035	2303
OHDMTV_M	BEET	(refreshed [pause]) Even (a goat)	367	2269	2823	487	2148	2734
OHDMTV_M	BEET	"(10-lb. bags) cheap, (the manager)"	429	2311	2833	409	2259	2668
OHDMTV_M	BEET	(I only) need (five right now)	439	2377	2839	444	2413	2940
OHDMTV_M	BEET	(said the) leader ([pause] We can't)	398	1965	2462	372	2174	2641
OHDMTV_M	BEET	(later on that) evening (the scouts)	339	2296	2850	433	2191	2795
OHDMTV_M	BIT	(washing the) dishes (from last)	476	1818	2564			
OHDMTV_M	BIT	(could and) hit (the culvert)	438	1820	2682			
OHDMTV_M	BIT	"(telephone poles) zip (by, he passed)"	588	1631	2706			
OHDMTV_M	BIT	(eating dead) fish ([pause] On)	524	1838	2583			
OHDMTV_M	BIT	(if he) didn’t (have the sense)	454	1896	2646			
OHDMTV_M	BIT	"(bothered) it, (too [pause])"	454	1822	2724			
OHDMTV_M	BIT	(a tight) fit (in the small)	534	1833	2651			
OHDMTV_M	BIT	(saw a guy) fixing (the roof of)	520	1785	2435
OHDMTV_M	BIT	(stove [pause]) Picturing (the fire)	563	1938	2575
OHDMTV_M	BIT	(no cure for) this ([pause])	503	1771	2791
OHDMTV_M	PIN=PEN	([pause]) Since (it was too cold)	472	1633	2465
OHDMTV_M	PIN=PEN	(After five) minutes (he drove)	662	1782	2641
OHDMTV_M	PIN=PEN	(There must've) been (a thousand)	548	1828	2631
OHDMTV_M	PIN=PEN	(chewing on a) tin (can looked)	585	2003	2678
OHDMTV_M	PIN=PEN	(or go out) into (the loft)	503	1803	2380
OHDMTV_M	PIN=PEN	(come washing) in (the beams)	588	2006	2620
OHDMTV_M	PIN=PEN	(half in--[P] half) in (and half out)	541	1903	2672
OHDMTV_M	PIN=PEN	(he'd seen were) men (pushing a)	600	1856	2693
OHDMTV_M	PIN=PEN	(along the) end (of the dam)	609	1852	2711
OHDMTV_M	PIN=PEN	(have the) sense (to avoid)	529	1668	2451
OHDMTV_M	PIN=PEN	(don't have) any (driveway salt)	539	1904	2775
OHDMTV_M	PIN=PEN	(sell ten-pound--[P]) ten-(pound bags)	534	1821	2654
OHDMTV_M	PIN=PEN	"(things and) then (second, two)"	570	1831	2586
OHDMTV_M	PIN=PEN	"(answered, and) then (he'd walk off)"	562	1931	2685			
OHDMTV_M	PIN=PEN	(hair stood on) end (with fear and)	588	1907	2646			
OHDMTV_M	PIN=PEN	(they sent ou--) sent (out scouts to)	608	1713	2541			
OHDMTV_M	PIN=PEN	(but then) again (perhaps I won't)	500	1999	2524			
OHDMTV_M	PIN=PEN	(day--some) men (came to look)	579	1952	2648			
OHDMTV_M	BAIT	(which) made (his ears)	583	1968	2537	487	2159	2674
OHDMTV_M	BAIT	(I can’t) stay (cooped up)	501	1853	2689	510	2058	2684
OHDMTV_M	BAIT	(a nice) day (he thought)	542	1790	2617	496	2114	2544
OHDMTV_M	BAIT	(it made--it) made (him cough)	594	2154	2713	541	2271	2785
OHDMTV_M	BAIT	(plants [pause]) They (made his)	555	1945	2644	497	2029	2645
OHDMTV_M	BAIT	(at a Gulf) station (and bought)	518	1919	2647	462	2107	2622
OHDMTV_M	BAIT	(was quite) unsafe ([pause] At)	543	1689	2703	538	1911	2622
OHDMTV_M	BAIT	(A little) later (on that evening)	587	1819	2679	575	1993	2587
OHDMTV_M	BAIT	(The leader) gave (the order)	501	2157	3022	450	2094	2694
OHDMTV_M	BAIT	(think it’s) safe (here anymore)	569	1765	2677	511	2129	2705
OHDMTV_M	BAIT	(right about) face! (March!)	564	1853	2755	465	2034	2671
OHDMTV_M	BET	(eating) dead (fish)	598	1770	2543
OHDMTV_M	BET	"(Dam [pause]) Next, (he rode through)"	601	1827	2565
OHDMTV_M	BET	(He) headed (back to town)	608	1808	2655
OHDMTV_M	BET	(renewed his) medical  (insurance on)	678	1653	2585
OHDMTV_M	BET	(Tuesday [P]) Checking (his pocket)	586	1850	2562
OHDMTV_M	BET	(having a) special (on light bulbs)	610	1574	2594
OHDMTV_M	BET	"(and then,) second, (two cots on sale)"	661	1717	2610
OHDMTV_M	BET	(I) guess (there’s no cure)	539	1856	2696
OHDMTV_M	BET	"(usual, but) said (nothing [pause])"	610	1656	2643
OHDMTV_M	BET	(won’t do) said (the leader)	527	1561	2621
OHDMTV_M	BET	"(rat, quite) dead (half in and half)"	589	1801	2600
OHDMTV_M	BAT	(too cold) Saturday (to soak)	685	1637	2509
OHDMTV_M	BAT	(He still) hadn’t (started washing)	727	1602	2719
OHDMTV_M	BAT	(took off as) fast (as he could)	691	1630	2703
OHDMTV_M	BAT	(he had--) passed (both a school)	714	1639	2620
OHDMTV_M	BAT	(hospital [pause]) After (five minutes)	685	1585	2585
OHDMTV_M	BAT	(air was so) bad (it hit him--made him)	703	1641	2645			
OHDMTV_M	BAT	(can looked) happy ([pause] He)	730	1734	2580			
OHDMTV_M	BAT	(He headed) back (to town)	719	1738	2599			
OHDMTV_M	BAT	(bought some) gas (because Joan)	668	1816	2424			
OHDMTV_M	BAT	(a bushel) basket ([pause] He rushed)	695	1511	2490			
OHDMTV_M	BAT	(scouts came) back (and said)	737	1699	2544			
OHDMTV_M	BAT	(Arthur [pause]) That (was the)	675	1606	2790			
OHDMTV_M	BAT	(he wasn’t) exactly (outside it)	710	1574	2517			
OHDMTV_M	BAT	(then again) perhaps (I won’t)	721	1544	2584			
OHDMTV_M	BAT	(them) happened (to move)	729	1657	2582			
OHDMTV_M	BAT	(other rats) asked (him if)	631	1641	2661			
OHDMTV_M	BAT	(least--at) last (one of them)	731	1550	2673			
OHDMTV_M	BAT	([pause]) half (in and half)	715	1688	2734			
OHDMTV_M	BAT	(half in and) half (out of)	725	1702	2457			
OHDMTV_M	BAN	"(shoot arrows,) Sam (decided to)"	557	1939	2464	584	2052	2641
OHDMTV_M	BAN	(dashed to the) family (car before)	541	1738	2450	600	1691	2384
OHDMTV_M	BAN	(I) can’t (stay cooped up)	626	2352	3091	633	2132	2678
OHDMTV_M	BAN	(Hoover) Dam ([P] where he saw)	525	1945	2602	551	1735	2427
OHDMTV_M	BAN	(avoid those) plants. ([pause] they)	669	1606	2471	669	1875	2591
OHDMTV_M	BAN	(on a tin) can (looked happy)	549	2231	2736	584	1946	2542
OHDMTV_M	BAN	(asked the) manager. ([pause] No)	619	1967	2412	627	1960	2545
OHDMTV_M	BAN	(manager) answered. ([pause] I)	579	2249	3050	661	2024	2579
OHDMTV_M	BOT=BOUGHT	(his ears) throb ([pause] As)	685	1277	2707			
OHDMTV_M	BOT=BOUGHT	([pause]) Watching (the telephone)	719	1304	2635			
OHDMTV_M	BOT=BOUGHT	(and a) hospital. ([pause] After)	735	1308	2651			
OHDMTV_M	BOT=BOUGHT	(hoarse [pause]) Not (far away)	749	1359	2574			
OHDMTV_M	BOT=BOUGHT	"(ragweed) bothered (it, too)"	730	1177	2625			
OHDMTV_M	BOT=BOUGHT	(Checking his) pocket (for cash)	702	1138	2585			
OHDMTV_M	BOT=BOUGHT	"(cash, he) stopped (at a Gulf)"	700	1443	2625			
OHDMTV_M	BOT=BOUGHT	"(now, he) nodded, (plus some)"	781	1305	2526			
OHDMTV_M	BOT=BOUGHT	(two) cots (on sale)	690	1188	2635			
OHDMTV_M	BOT=BOUGHT	"(since it had) gotten (hot, and)"	696	1322	2463			
OHDMTV_M	BOT=BOUGHT	"(gotten) hot, (and he recalled)"	799	1270	2486
OHDMTV_M	BOT=BOUGHT	(would be) hostile (if he didn’t)	672	1232	2645
OHDMTV_M	BOT=BOUGHT	(cooking) pot (on the stove)	729	1177	2629
OHDMTV_M	BOT=BOUGHT	(The roof may) not (fall down)	742	1379	2418
OHDMTV_M	BOT=BOUGHT	(It seemed) odd (to them)	661	1147	2602
OHDMTV_M	BOT=BOUGHT	(and his) daughter (was playing)	690	1265	2552
OHDMTV_M	BOT=BOUGHT	(Joan) caught (him [pause])	737	1344	2598
OHDMTV_M	BOT=BOUGHT	(He took) off (as fast as he)	697	1171	2683
OHDMTV_M	BOT=BOUGHT	"(day, he) thought ([pause] Watching)"	686	1287	2700
OHDMTV_M	BOT=BOUGHT	(where he) saw (a sight to behold)	632	1122	2751
OHDMTV_M	BOT=BOUGHT	(made him) cough ([pause] He’d be)	656	1048	2571
OHDMTV_M	BOT=BOUGHT	(looking at a) hawk (above and the)	696	1055	2535
OHDMTV_M	BOT=BOUGHT	(station and) bought (some gas)	713	1242	2717
OHDMTV_M	BOT=BOUGHT	(tool store) ought (to sell ten-pound)	673	1505	2685
OHDMTV_M	BOT=BOUGHT	(-sized foreign) auto ([pause] On the)	731	1130	2368
OHDMTV_M	BOT=BOUGHT	"(house and) thought, (I need to put)"	735	1310	2619
OHDMTV_M	BOT=BOUGHT	"(from hard to) soft, (since it had)"	713	1174	2676			
OHDMTV_M	BOT=BOUGHT	(old rat) caught (sight of young)	642	1406	2620			
OHDMTV_M	BOT=BOUGHT	(board and he) caught (sight of a)	708	1438	2651			
OHDMTV_M	BOAT	(Saturday to) soak (in his pool)	560	1520	2585	555	1367	2673
OHDMTV_M	BOAT	(pushing a) boat (along the end)	560	1374	2456	496	1490	2669
OHDMTV_M	BOAT	(ragweed was) so (bad it made him)	558	1548	2595	539	1263	2532
OHDMTV_M	BOAT	(sense to avoid) those (plants [pause])	463	1561	2512	460	1483	2519
OHDMTV_M	BOAT	(Even a) goat (chewing on a tin can)	521	1805	2430	518	1342	2407
OHDMTV_M	BOAT	"(manager [pause]) No, (but Tharp’s)"	662	1708	2648	644	1282	2708
OHDMTV_M	BOAT	(put a fall) coat (of paint on my own)	573	1708	2434	544	1481	2583
OHDMTV_M	BOAT	(pot on the) stove. ([pause] Picturing)	527	1649	2699	548	1591	2692
OHDMTV_M	BOAT	(out the dish) soap. ([pause] I guess)	530	1674	2953	517	1468	2500
OHDMTV_M	BOAT	(you think) so (said his aunt)	567	1571	2595	502	1418	2532
OHDMTV_M	BOAT	(I think I’ll) go (tomorrow)	543	1743	2413	512	1591	2532
OHDMTV_M	BOAT	(to look) over (the damage)	547	1682	2261	548	1538	2236
OHDMTV_M	BUT	(stay cooped) up (inside on such)	583	1477	2679			
OHDMTV_M	BUT	(up inside on) such (a nice day)	572	1660	2643
OHDMTV_M	BUT	(There) must’ve (been a thousand)	665	1469	2690
OHDMTV_M	BUT	(ragweed in the) dust (-filled air)	570	1484	2664
OHDMTV_M	BUT	(a a hawk) above (and the hogs)	591	1160	2697
OHDMTV_M	BUT	"(he nodded,) plus (some hooks)"	687	1342	2880
OHDMTV_M	BUT	(took a) shortcut (down Tuttle)	613	1769	2842
OHDMTV_M	BUT	(shortcut down) Tuttle (Street and)	668	1347	2575
OHDMTV_M	BUT	(hear his) other (daughter practicing)	625	1333	2722
OHDMTV_M	BUT	"(poor ears, he) muttered (as he poured)"	694	1314	2401
OHDMTV_M	BUT	(hole [pause) Thus (the shrieking--)	582	1480	2741
OHDMTV_M	BOOK	([pause] He) took (off as fast)	516	1560	2621
OHDMTV_M	BOOK	(fast as he) could ([P] and hit the)	494	1751	2641
OHDMTV_M	BOOK	(were men) pushing (a boat)	570	1509	2549
OHDMTV_M	BOOK	(He enjoyed) looking (at a hawk)	569	1345	2704
OHDMTV_M	BOOK	"(plus some) hooks, (bolts, and a)"	592	1393	2649
OHDMTV_M	BOOK	"(bolts, and a) bushel (basket [pause])"	557	1118	2469
OHDMTV_M	BOOK	(I need to) put (a fall coat of)	568	1493	2471			
OHDMTV_M	BOOK	"(big, dark [P]) cooking (pot on the)"	549	1487	2438			
OHDMTV_M	BOOK	"(stove, he) took (a shortcut down)"	553	1550	2464			
OHDMTV_M	BOOK	(with her) foot ([P] for she couldn’t)	533	1479	2527			
OHDMTV_M	BOOK	(The walls) shook (the cupola)	513	1475	2615			
OHDMTV_M	BOOK	(end--[P]) stood (on end with)	482	1622	2693			
OHDMTV_M	BOOT	(can’t stay) cooped (up inside)	493	2099	2450	494	1955	2394
OHDMTV_M	BOOT	"(drove around) Hoover (Dam, where)"	439	1833	2305	336	1771	2308
OHDMTV_M	BOOT	(rode) through (some farms with)	555	1808	2398	472	1787	2528
OHDMTV_M	BOOT	"(he passed) Cooper’s (Forks, where)"	490	1974	2434	472	1836	2200
OHDMTV_M	BOOT	(fixing the) roof (of his house)	412	1668	2353	394	1545	2405
